,title,directors,scraptwriter,type,country,language,date,flength,rate
3009,血观音 血觀音,杨雅喆,杨雅喆,剧情悬疑,中国,汉语普通话粤语闽南语日语,2017-11-24(中国台湾)2017-10-15(釜山电影节),112分钟,8.4
3010,血迷宫 Blood Simple,乔尔·科恩,伊桑·科恩 乔尔·科恩,剧情悬疑惊悚犯罪,美国,英语,1984-09-07,99分钟,7.8
3011,血钻 Blood Diamond,爱德华·兹威克,查尔斯·里维特,剧情惊悚冒险,美国德国英国,英语门德语南非语,2006-12-08(美国),143 分钟,8.7
3012,行走距离 Distancias cortas,亚历山卓·古兹曼·阿尔瓦雷斯,伊策尔·拉腊,剧情喜剧,墨西哥,西班牙语,2015-10-27(芝加哥电影节)2016-04(北京电影节),104分钟,8.4
3013,行运一条龙 行運一條龍,李力持,李力持 郑文辉,剧情喜剧爱情,中国,粤语,1998-01-05(中国香港),99分钟,6.8
3014,行运超人,谷德昭,谷德昭 叶念琛,喜剧爱情,中国,粤语,2003-01-23(中国香港),98分钟,6.7
3015,行骗天下JP：公主篇 コンフィデンスマンJP プリンセス編,田中亮,古泽良太,剧情喜剧,日本,日语,2020-07-23(日本),124分钟,8.0
3016,行骗天下JP：浪漫篇 コンフィデンスマンJP,田中亮,古泽良太,喜剧悬疑,日本,日语,2019-05-17(日本),116分钟,8.1
3017,行骗天下JP：运势篇 コンフィデンスマンJP 運勢編,田中亮,古泽良太,剧情喜剧,日本,日语,2019-05-18(日本),105分钟,8.3
3018,衣橱 클로젯,金光彬,金光彬,恐怖,韩国,韩语,2020-02-05(韩国),97分钟,5.7
